,event_id,bout_position,billing,fn_method,fn_move,round_stucture,total_rounds,total_fight_time,final_round,final_round_time
0,223608552001261823216945104848540421749,12,Main Event,Decision,Unanimous,5 x 5,5,25:00,5,5:00
1,223608552001261823216945104848540421749,11,Co-Main Event,Decision,Unanimous,5 x 5,5,25:00,5,5:00
2,223608552001261823216945104848540421749,10,Main Card,KO/TKO,Left Hook,3 x 5,5,2:36,1,2:36
3,223608552001261823216945104848540421749,9,Main Card,KO/TKO,Punches (Standing TKO),3 x 5,5,9:47,2,4:47
4,223608552001261823216945104848540421749,8,Main Card,Ends in a No Contest,Eye Poke,3 x 5,5,8:09,2,3:09
5,223608552001261823216945104848540421749,7,Prelim,Submission,Mounted Guillotine Choke,3 x 5,5,0:45,1,0:45
6,223608552001261823216945104848540421749,6,Prelim,Submission,Guillotine Choke,3 x 5,5,6:32,2,1:32
7,223608552001261823216945104848540421749,5,Prelim,Decision,Unanimous,3 x 5,5,15:00,5,3:00
8,223608552001261823216945104848540421749,4,Prelim,Decision,Unanimous,3 x 5,5,15:00,5,3:00
9,223608552001261823216945104848540421749,3,Prelim,Decision,Unanimous,3 x 5,5,15:00,5,3:00
10,223608552001261823216945104848540421749,2,Prelim,Decision,Unanimous,3 x 5,5,15:00,5,3:00
11,223608552001261823216945104848540421749,1,Prelim,Submission,Armbar,3 x 5,5,0:42,1,0:42
12,224041518593135439182784473556641389281,12,Main Event,Decision,Unanimous,5 x 5,5,25:00,5,5:00
13,224041518593135439182784473556641389281,11,Co-Main Event,Submission,Guillotine Choke,3 x 5,5,9:58,2,4:58
14,224041518593135439182784473556641389281,10,Main Card,KO/TKO,Ground and Pound,3 x 5,5,8:04,2,3:04
15,224041518593135439182784473556641389281,9,Main Card,Submission,Rear Naked Choke,3 x 5,5,3:05,1,3:05
16,224041518593135439182784473556641389281,8,Main Card,Decision,Unanimous,3 x 5,5,15:00,5,3:00
17,224041518593135439182784473556641389281,7,Main Card,Decision,Unanimous,3 x 5,5,15:00,5,3:00
18,224041518593135439182784473556641389281,6,Prelim,KO/TKO,Hooks,3 x 5,5,1:15,1,1:15
19,224041518593135439182784473556641389281,5,Prelim,Decision,Unanimous,3 x 5,5,15:00,5,3:00
20,224041518593135439182784473556641389281,4,Prelim,Decision,Unanimous,3 x 5,5,15:00,5,3:00
21,224041518593135439182784473556641389281,3,Prelim,KO/TKO,Punches,3 x 5,5,1:08,1,1:08
22,224041518593135439182784473556641389281,2,Prelim,Submission,Rear Naked Choke,3 x 5,5,2:27,1,2:27
23,224041518593135439182784473556641389281,1,Prelim,Decision,Split,3 x 5,5,15:00,5,3:00
24,224041518593135439182784473556641389281,12,Main Event,Decision,Unanimous,5 x 5,5,25:00,5,5:00
25,224041518593135439182784473556641389281,11,Co-Main Event,Submission,Guillotine Choke,3 x 5,5,9:58,2,4:58
26,224041518593135439182784473556641389281,10,Main Card,KO/TKO,Ground and Pound,3 x 5,5,8:04,2,3:04
27,224041518593135439182784473556641389281,9,Main Card,Submission,Rear Naked Choke,3 x 5,5,3:05,1,3:05
28,224041518593135439182784473556641389281,8,Main Card,Decision,Unanimous,3 x 5,5,15:00,5,3:00
29,224041518593135439182784473556641389281,7,Main Card,Decision,Unanimous,3 x 5,5,15:00,5,3:00
30,224041518593135439182784473556641389281,6,Prelim,KO/TKO,Hooks,3 x 5,5,1:15,1,1:15
31,224041518593135439182784473556641389281,5,Prelim,Decision,Unanimous,3 x 5,5,15:00,5,3:00
32,224041518593135439182784473556641389281,4,Prelim,Decision,Unanimous,3 x 5,5,15:00,5,3:00
