,fid,name,nickname,age,dob,height,reach,born,pro_mma_record
0,32469,Alex May,"
N/A
",<span>N/A</span>,,<span>N/A</span>,<span>N/A</span>,"<span>
England
</span>",
1,18338,Adam McDonough,"
Big Gunna
","<span data-controller=""age-calc"">1985-09-24</span>",,"<span>5'10"" (178cm)</span>","<span>66.0"" (168cm)</span>","<span>
United States
</span>",<span>11-1-0 (Win-Loss-Draw)</span>
2,4263,Marcio Navarro,"
The Locomotive
","<span data-controller=""age-calc"">1978-09-17</span>",,"<span>6'0"" (183cm)</span>","<span>71.0"" (180cm)</span>","<span>
Sao Paulo, Brazil
</span>",<span>15-16-0 (Win-Loss-Draw)</span>
3,5380,Rick Collup,"
N/A
",<span>N/A</span>,,"<span>6'3"" (191cm)</span>",<span>N/A</span>,"<span>
United States
</span>",<span>1-7-0 (Win-Loss-Draw)</span>
4,44204,Louis Felix Blaquiere,"
N/A
",<span>N/A</span>,,<span>N/A</span>,<span>N/A</span>,"<span>
Canada
</span>",
5,3338,Brandon Jinnies,"
N/A
","<span data-controller=""age-calc"">1983-09-02</span>",,"<span>5'7"" (171cm)</span>",<span>N/A</span>,"<span>
United States
</span>",<span>3-14-0 (Win-Loss-Draw)</span>
6,42708,Troy Wittman,"
N/A
","<span data-controller=""age-calc"">1991-09-03</span>",,"<span>6'1"" (185cm)</span>",<span>N/A</span>,"<span>
Fredericksburg, Virginia, United States
</span>",<span>6-3-0 (Win-Loss-Draw)</span>
7,44384,Stipe Brčić,"
N/A
","<span data-controller=""age-calc"">1992-11-14</span>",,<span>N/A</span>,<span>N/A</span>,"<span>
Croatia
</span>",<span>10-2-0 (Win-Loss-Draw)</span>
8,10635,Carlo Lattore,"
N/A
",<span>N/A</span>,,<span>N/A</span>,<span>N/A</span>,"<span>
Australia
</span>",<span>0-2-0 (Win-Loss-Draw)</span>
9,28451,Jonathan Laroche,"
N/A
",<span>N/A</span>,,<span>N/A</span>,<span>N/A</span>,"<span>
Canada
</span>",
10,18601,Ruben Vazquez,"
N/A
",<span>N/A</span>,,"<span>5'9"" (176cm)</span>",<span>N/A</span>,"<span>
Spain
</span>","<span>1-5-0, 1 NC (Win-Loss-Draw)</span>"
11,47228,Anthony Chavez,"
N/A
","<span data-controller=""age-calc"">1996-07-10</span>",,"<span>5'8"" (173cm)</span>",<span>N/A</span>,"<span>
Redlands, California, United States
</span>",
