,id,fid,name,last_name,first_name,nickname,dob,dod,weight_class,last_weightIn,height,reach,birth_loc,current_loc,current_streak,last_fight,affiliation,win,lose,draw,nc,biography
0,177374713410895491647513643551850349769,79163,Israel Mobolaji Odunayo Adesanya,Mobolaji Odunayo Adesanya,Israel,The Last Stylebender,1989-07-22,,Middleweight,183.5 lbs,193,203,"Lagos, Nigeria","Auckland, New Zealand",3 Wins,"July 02, 2022",City Kickboxing,23,1,0,0,/fightcenter/fighters/79163-israel-adesanya
1,130886265131767316510860597135714631384,63163,Jared Cannonier,Cannonier,Jared,Killa Gorilla,1984-03-16,,Middleweight,184.5 lbs,180,197,United States,Alaska,1 Loss,"July 02, 2022",MMA Lab,15,6,0,0,/fightcenter/fighters/63163-jared-cannonier
2,75959355634875093856151709173906912906,41705,Alexander Volkanovski,Volkanovski,Alexander,The Great,1988-09-29,,Featherweight,144.5 lbs,168,182,Australia,"Shellharbour, New South Wales",22 Wins,"July 02, 2022",,25,1,0,0,/fightcenter/fighters/41705-alex-volkanski
3,29178231844475228995496455327708981235,12723,Jerome-Max Kelii Holloway,Kelii Holloway,Jerome-Max,Blessed,1991-12-04,,Featherweight,144.5 lbs,180,175,"Oahu, Hawaii, United States","Waianae, Hawaii",1 Loss,"July 02, 2022",Gracie Technics,23,7,0,0,/fightcenter/fighters/12723-max-holloway-lil-evil
4,234570755583982612838849517167284406030,117305,Alex Sandro Silva Pereira,Sandro Silva Pereira,Alex,Poatan,1987-07-07,,Middleweight,184.5 lbs,194,203,"São Bernardo do Campo, São Paulo, Brazil","Bethel, Connecticut",6 Wins,"July 02, 2022",Cruz MMA,6,1,0,0,/fightcenter/fighters/117305-alex-pereira
5,247491495416972678697864274942148131592,6055,Sean Strickland,Strickland,Sean,N/A,1991-02-27,,Middleweight,185.5 lbs,185,193,United States,"Riverside, California",1 Loss,"July 02, 2022",Team Quest,25,4,0,0,/fightcenter/fighters/6055-sean-strickland-tarzan
6,136904108689323933607767636238400666567,16876,Bryan Barberena,Barberena,Bryan,Bam Bam,1989-05-03,,Welterweight,170.5 lbs,183,183,"Montclair, California","Glendale, Arizona",3 Wins,"July 02, 2022",MMA Lab,18,8,0,0,/fightcenter/fighters/16876-bryan-barberena
7,333034352540622715426178524212616696698,188,Robert Glenn Lawler,Glenn Lawler,Robert,Ruthless,1982-03-20,,Welterweight,171.0 lbs,181,188,"San Diego, California, United States","Coconut Creek, Florida",1 Loss,"July 02, 2022",Kill Cliff FC,29,16,0,1,/fightcenter/fighters/robbie-lawler-ruthless
8,103375601834165912548148463121046718654,5243,Pedro Munhoz-Lopes,Munhoz-Lopes,Pedro,The Young Punisher,1986-09-07,,Bantamweight,135.5 lbs,168,165,"Sao Paulo, Sao Paulo, Brazil","Coconut Creek, Florida",2 Losses,"July 02, 2022",,19,7,0,2,/fightcenter/fighters/5243-pedro-munoz-pedrinho
9,203633342072110165855255822249495418823,68186,Sean O'Malley,O'Malley,Sean,Sugar,1994-10-24,,Bantamweight,135.0 lbs,180,183,"Helena, Montana","Scottsdale, Arizona",3 Wins,"July 02, 2022",MMA Lab,15,1,0,1,/fightcenter/fighters/68186-sean-omalley
10,300041825857721914422486166874099393943,68396,Jalin Turner,Turner,Jalin,The Tarantula,1995-05-18,,Lightweight,155.5 lbs,191,192,United States,"San Bernardino, California",5 Wins,"July 02, 2022",Carlson Gracie Riverside,13,5,0,0,/fightcenter/fighters/68396-jalin-turner
11,138487947926386624464103891522017909911,146061,Bradley Riddell,Riddell,Bradley,Quake,1991-09-30,,Lightweight,155.5 lbs,170,181,New Zealand,"Phuket, Thailand",2 Losses,"July 02, 2022",City Kickboxing,10,3,0,0,/fightcenter/fighters/146061-brad-riddell-quake
12,148294105713478128052699540478411757493,32,James Andrew Miller,Andrew Miller,James,A-10,1983-08-30,,Welterweight,170.5 lbs,173,180,"Sparta, New Jersey, United States","Whippany, New Jersey",3 Wins,"July 02, 2022",Sussex County MMA,35,16,0,1,/fightcenter/fighters/jim-miller
13,224002995354723599110558684088391732903,240,Donald Anthony Cerrone,Anthony Cerrone,Donald,Cowboy,1983-03-29,,Welterweight,170.5 lbs,185,185,"Denver, Colorado, United States","Albuquerque, New Mexico",6 Losses,"July 02, 2022",BMF Ranch,36,17,0,2,/fightcenter/fighters/donald-cerrone-cowboy
14,263194868652678528276261727205275945384,171377,Ian Machado Garry,Machado Garry,Ian,The Future,1997-11-17,,Welterweight,171.0 lbs,191,188,Ireland,Ireland,14 Wins,"July 02, 2022",Kill Cliff FC,10,0,0,0,/fightcenter/fighters/171377-ian-garry
15,301671225287208200560904879796261859435,86242,Gabriel Green,Green,Gabriel,Gifted,1993-05-02,,Welterweight,170.0 lbs,178,185,"San Pedro, California","Downey, California",1 Loss,"July 02, 2022",Tracy Hess' Subfighter MMA,11,4,0,0,/fightcenter/fighters/86242-gabriel-green
16,232161760713990746387287646924822343451,51267,Dricus Du Plessis,Du Plessis,Dricus,Stillknocks,1994-01-14,,Middleweight,185.0 lbs,185,193,South Africa,"Hatfield, Pretoria, South Africa",5 Wins,"July 02, 2022",Team CIT,17,2,0,0,/fightcenter/fighters/51267-dricus-du-plessis-stilknocks
17,62850239108153023483506961060303784878,1828,Bradley Kaipo Sarbida Tavares,Kaipo Sarbida Tavares,Bradley,N/A,1987-12-21,,Middleweight,185.5 lbs,185,188,"Kailua, Hawaii, United States","Las Vegas, Nevada",1 Loss,"July 02, 2022",Xtreme Couture,19,7,0,0,/fightcenter/fighters/brad-tavares
18,14794149596421796399013384515691689629,38116,André Muniz,Muniz,André,Sergipano,1990-02-17,,Middleweight,185.5 lbs,185,198,Brazil,"Montes Claros, Minas Gerais, Brazil",9 Wins,"July 02, 2022",Tata Fight Team Montes Claros,23,4,0,0,/fightcenter/fighters/38116-andr-muniz-sergipano
19,47213679875216635804355899458783640813,1770,Uriah Hall,Hall,Uriah,Prime Time,1984-07-31,,Middleweight,186.0 lbs,183,202,"Spanish Town, Jamaica","New York City, New York",2 Losses,"July 02, 2022",,17,11,0,0,/fightcenter/fighters/uriah-hall
20,321753869255284795066992445259405718216,143925,Maycee Barber,Barber,Maycee,The Future,1998-05-18,,Flyweight,126.0 lbs,165,165,United States,"Milwaukee, Wisconsin",3 Wins,"July 02, 2022",,11,2,0,0,/fightcenter/fighters/143925-maycee-barber
21,225184520273190378453233986575023890020,14208,Jessica Eye,Eye,Jessica,Evil,1986-07-27,,Flyweight,126.0 lbs,168,168,"Rootstown, Ohio","Las Vegas, Nevada",4 Losses,"July 02, 2022",,15,11,0,1,/fightcenter/fighters/14208-jessica-eye
22,207817915350419549616926100037789605453,54390,Julija Stoliarenko,Stoliarenko,Julija,N/A,1993-04-08,,Bantamweight,136.0 lbs,170,175,Lithuania,"Kaunas, Lithuania",1 Win,"July 02, 2022",Fighter House,10,6,1,0,/fightcenter/fighters/54390-julia-stoliarenko
23,25309640752554680145527958582773497512,41689,Jessica-Rose Clark,Clark,Jessica-Rose,Jessy Jess,1987-11-28,,Bantamweight,135.5 lbs,165,170,"Innisfail, Australia","Las Vegas, Nevada",2 Losses,"July 02, 2022",Combat Sports Academy,11,8,0,1,/fightcenter/fighters/41689-jessy-rose
24,217181912199055103013834650981981730665,26305,Mateusz Gamrot,Gamrot,Mateusz,Gamer,1990-12-11,,Lightweight,156.0 lbs,177,179,Poland,"Poznań, Poland",4 Wins,"June 25, 2022",Czerwony Smok,21,1,0,1,/fightcenter/fighters/26305-mateusz-gamrot
25,336523125311337305481649301324196335265,115752,Арман Царукян,Царукян,Арман,Ahalkalakets,1996-10-11,,Lightweight,156.0 lbs,170,184,Armenia,"Krasnodar, Russia",1 Loss,"June 25, 2022",Khabarovsk MMA,18,3,0,0,/fightcenter/fighters/115752-arman-tsarukyan
